Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
76	Spectrogram 1	1	566.7942857	569.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	27	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.773	3	30	60
77	Spectrogram 1	1	569.7942857	572.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	30	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4215	3	33	60
78	Spectrogram 1	1	572.7942857	575.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	33	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3399	3	36	60
79	Spectrogram 1	1	575.7942857	578.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	36	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.8554	3	39	60
80	Spectrogram 1	1	578.7942857	581.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	39	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.5192	3	42	60
81	Spectrogram 1	1	581.7942857	584.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	42	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.6749	3	45	60
82	Spectrogram 1	1	584.7942857	587.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	45	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.4981	3	48	60
83	Spectrogram 1	1	587.7942857	590.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	48	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.3959	3	51	60
84	Spectrogram 1	1	590.7942857	593.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	51	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.7481	3	54	60
85	Spectrogram 1	1	593.7942857	596.7942857	0	15000	E:\Pedido Marcelo\taeniata\Audios\TURBERABLEST_20230122_220000.wav	54	TURBERABLEST_20230122_220000.wav	Batrachyla taeniata	Batrachyla taeniata	0.7102	3	57	60
