Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
96	Spectrogram 1	1	524.8171429	527.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	45	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.8986	3	48	60
97	Spectrogram 1	1	527.8171429	530.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	48	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9997	3	51	60
98	Spectrogram 1	1	530.8171429	533.8171429	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_200000.wav	51	TURBERABLEST_20230104_200000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9985	3	54	60
99	Spectrogram 1	1	539.7942857	542.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	0	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9997	3	3	60
100	Spectrogram 1	1	542.7942857	545.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	3	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	6	60
101	Spectrogram 1	1	545.7942857	548.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	6	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.6592	3	9	60
102	Spectrogram 1	1	551.7942857	554.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	12	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9644	3	15	60
103	Spectrogram 1	1	563.7942857	566.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	24	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9985	3	27	60
104	Spectrogram 1	1	566.7942857	569.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	27	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9998	3	30	60
105	Spectrogram 1	1	575.7942857	578.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	36	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9994	3	39	60
106	Spectrogram 1	1	578.7942857	581.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	39	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9917	3	42	60
107	Spectrogram 1	1	593.7942857	596.7942857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	54	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.994	3	57	60
108	Spectrogram 1	1	596.7942857	599.7742857	0	15000	E:\Pedido Marcelo\antartandica\Audios\TURBERABLEST_20230104_210000.wav	57	TURBERABLEST_20230104_210000.wav	Batrachyla antartandica	Batrachyla antartandica	0.9979	3	60	60
