Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Common Name	Species Code	Confidence	Delta time	Corrected_End_Time	Duration
48	Spectrogram 1	1	299.8857143	302.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	0	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.8169	3	3	60
49	Waveform 1	1	302.8857143	305.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	3	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.5737	3	6	60
49	Spectrogram 1	1	302.8857143	305.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	3	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.5737	3	6	60
50	Waveform 1	1	305.8857143	308.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	6	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9475	3	9	60
50	Spectrogram 1	1	305.8857143	308.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	6	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9475	3	9	60
51	Waveform 1	1	308.8857143	311.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	9	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9824	3	12	60
51	Spectrogram 1	1	308.8857143	311.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	9	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.9824	3	12	60
52	Waveform 1	1	314.8857143	317.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	15	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.8437	3	18	60
52	Spectrogram 1	1	314.8857143	317.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	15	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.8437	3	18	60
53	Waveform 1	1	317.8857143	320.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	18	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.6259	3	21	60
53	Spectrogram 1	1	317.8857143	320.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	18	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.6259	3	21	60
54	Waveform 1	1	323.8857143	326.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	24	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.6635	3	27	60
54	Spectrogram 1	1	323.8857143	326.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	24	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.6635	3	27	60
55	Waveform 1	1	326.8857143	329.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	27	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.5152	3	30	60
55	Spectrogram 1	1	326.8857143	329.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	27	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.5152	3	30	60
56	Waveform 1	1	329.8857143	332.8857143	0	15000	E:\Pedido Marcelo\leptopus\Audios\TURBERABLEST_20230104_170000.wav	30	TURBERABLEST_20230104_170000.wav	Batrachyla leptopus	Batrachyla leptopus	0.8714	3	33	60
